Admin no.,Name,AGE,CLASS,GENDER,Father's Name,Mother's Name,DOB,ph no.,email,Hoste_Id
3678,Dean Crinkley,16,11,Male,Gale Crinkley,Sapphire Crinkley,12/14/2006,1978644547,gcrinkley0@devhub.com,10
2942,Dugald Henrique,14,11,Male,Husain Henrique,Mariette Henrique,4/26/2008,4458234283,hhenrique1@networksolutions.com,7
2777,Forbes Hufton,18,11,Male,Aron Hufton,Adella Hufton,9/9/2004,9429851377,ahufton2@ucla.edu,10
1873,Mic Niche,18,10,Male,Oberon Niche,Kirsti Niche,3/6/2004,8732046410,oniche3@bloomberg.com,9
1108,Fair Blackway,17,12,Female,Benjy Blackway,Dell Blackway,8/29/2005,1461912009,bblackway4@infoseek.co.jp,5
5973,Sandy Felipe,17,12,Female,Hersh Felipe,Mercie Felipe,5/31/2005,2905802675,hfelipe5@freewebs.com,4
1252,Egor Prall,15,10,Male,Fred Prall,Becky Prall,9/21/2007,3944853338,fprall6@marriott.com,10
5940,Yancy Meegin,16,11,Female,Archibald Meegin,Lynnette Meegin,5/16/2006,2633166406,ameegin7@cnet.com,3
2974,Wernher Forster,16,12,Male,Jamal Forster,Clo Forster,1/4/2006,3028090712,jforster8@vk.com,12
4022,Ezri Hovenden,17,10,Female,Donalt Hovenden,Zilvia Hovenden,12/11/2005,3993547606,dhovenden9@statcounter.com,5
3339,Carny Tubritt,15,11,Female,Isac Tubritt,Jolee Tubritt,4/9/2007,6072374540,itubritta@theglobeandmail.com,1
1115,Harlen Irvine,15,12,Female,Jeremiah Irvine,Riva Irvine,12/30/2007,6794425849,jirvineb@netvibes.com,5
1202,Marietta Duffit,19,10,Female,Ailbert Duffit,Marnia Duffit,4/24/2003,7618147760,aduffitc@soundcloud.com,1
1520,Matt McNiff,19,10,Female,Yule McNiff,Gertrudis McNiff,6/27/2003,4593070599,ymcniffd@exblog.jp,3
2682,Chrotoem Learmonth,15,10,Male,Wilfred Learmonth,Tomasina Learmonth,6/23/2007,6519339533,wlearmonthe@sciencedirect.com,7
4685,Krisha Durak,16,12,Female,Ethe Durak,Paola Durak,1/10/2006,3052838528,edurakf@flavors.me,6
3236,Read Conquer,16,11,Male,Zane Conquer,Grace Conquer,4/2/2006,6092536822,zconquerg@nationalgeographic.com,7
3741,Lew Messum,16,11,Male,Clifford Messum,Kissie Messum,8/6/2006,4175228380,cmessumh@ask.com,11
5054,Dorey Sealeaf,16,11,Male,Gaylord Sealeaf,Austin Sealeaf,2/8/2006,5002657023,gsealeafi@hc360.com,12
2429,Niko Buyers,16,12,Male,Evered Buyers,Sophronia Buyers,4/21/2006,6636844251,ebuyersj@ihg.com,10
2636,Philbert Sogg,19,10,Female,Marven Sogg,Shanna Sogg,4/10/2003,5438037435,msoggk@businesswire.com,5
1280,Thorn Mangeon,17,11,Female,Craggy Mangeon,Janenna Mangeon,9/28/2005,1956841452,cmangeonl@studiopress.com,6
1385,Homer Gumey,17,12,Female,Wolfgang Gumey,Ashlen Gumey,2/13/2005,2386044008,wgumeym@fastcompany.com,6
5255,Dalston Humbie,15,12,Male,Steven Humbie,Raquel Humbie,6/21/2007,7059171308,shumbien@cbc.ca,12
2335,Garek Henner,15,12,Female,Ingar Henner,Kanya Henner,5/6/2007,7531200550,ihennero@fda.gov,2
2250,Anson Trembey,19,10,Female,Bogey Trembey,Angelle Trembey,2/13/2003,3148417987,btrembeyp@zdnet.com,4
3709,Jedediah Stobo,18,10,Male,Cazzie Stobo,Kylila Stobo,12/5/2004,5596634997,cstoboq@multiply.com,9
3046,Nilson Freda,19,11,Female,Conrad Freda,Janaya Freda,5/13/2003,6896234699,cfredar@ning.com,1
4881,Shem Greenrod,16,11,Male,Nicky Greenrod,Taffy Greenrod,10/16/2006,8897925547,ngreenrods@prlog.org,12
4130,Delmar Petricek,15,12,Male,Vlad Petricek,Pearl Petricek,6/23/2007,3184320519,vpetricekt@canalblog.com,7
5109,Clyde Wayman,18,11,Male,Terence Wayman,Ardyth Wayman,12/8/2004,6133903732,twaymanu@cbsnews.com,12
1709,Thebault Cockshott,15,10,Male,Griffith Cockshott,Licha Cockshott,9/27/2007,4889298630,gcockshottv@oakley.com,9
3445,Mycah Tosh,14,10,Female,Nestor Tosh,Arlyne Tosh,6/16/2008,5843904143,ntoshw@livejournal.com,3
3235,Yankee Lavrinov,18,11,Male,Ezekiel Lavrinov,Winny Lavrinov,1/30/2004,9307530782,elavrinovx@apple.com,11
